id,name,information,difficulty,affectedMuscles
10;”Flexiones de pino”;”Los flexiones de pino o fondos de pino, son un brutal ejercicio que trabaja hombros, tríceps y trapecios a un gran nivel. Es uno de mis ejercicios favoritos, eso sí, no es recomendado para principiantes por su elevado nivel de dificultad inicial.”;”EXERCISE_DIFFICULTY_HARD”;”MUSCLE_BACK”
11;”Crunch”;”El crunch es el ejercicio para abdominales más básico y quizá de los más importantes para construir fuerza y volumen muscular en el abdomen. Sencillo y fácil de realizar, recomendado para principiantes.”;”EXERCISE_DIFFICULTY_LOW”;”MUSCLE_ABDOMINALS”
12;”Sentadillas”;”La sentadilla, es uno de los mejores ejercicios que existen como os reiteramos constantemente en ejercicios en casa, pues es uno de los ejes para el desarrollo de la fuerza en nuestro tren inferior. Tiene un amplio abanico de posibilidades a la hora de trabajarlas, siendo excelentes para ganar resistencia muscular, fuerza e incluso nos ayudarán a perder peso.”;”EXERCISE_DIFFICULTY_HALF””MUSCLE_QUADRICEPS”,”MUSCLE_BACK”,”MUSCLE_ABDOMINALS”
13;”Flexiones diamante”;”Las flexiones diamante, son otro maravilloso ejercicio para desarrollar la fuerza corporal en nuestro tren inferior. Son un ejercicio mucho más complejo de lo que puede parecer inicialmente, pues provoca gran tensión en los tríceps.”;”EXERCISE_DIFFICULTY_HARD”;”MUSCLE_CHEST”,”MUSCLE_TRICEPS”,”MUSCLE_ABDOMINALS”
14;”Zancadas”;”Las zancadas son un excelente ejercicio para tonificar los cuádriceps y los glúteos. Es otro buen ejercicio para trabajar musculatura inferior de nuestro cuerpo, altamente recomendado para realizar rutinas de entrenamiento de cualquier índole, ya sea de alta intensidad o de fuerza.”;”EXERCISE_DIFFICULTY_HARD”;”MUSCLE_QUADRICEPS”,”MUSCLE_BACK”,”MUSCLE_ABDOMINALS”
15;”Flexiones de brazos”;”O lagartijas como también se las conoce. Si lo que quieres es tener unos pectorales desarrollados, hombros de basketbolista y tríceps bien marcados entonces tienes que dominar este ejercicio. La clave es desarrollar buena técnica sin arquear la espalda y subir y bajar lentamente.”;”EXERCISE_DIFFICULTY_LOW”;”MUSCLE_CHEST”,”MUSCLE_TRICEPS”
16;”Plancha”;”Este es un ejercicio estático increíble. Considerado como una de las mejores maneras de medir tu estado físico, la plancha requiere de fuerza de hombros y de una gran resistencia abdominal, espalda baja y hasta piernas. Para marcar los abdominales la plancha debería ser parte importante de tu rutina. Ponte como objetivo tres series de un minuto y luego apunta a progresar. Recuerda que para hacerla tu cuerpo debe estar recto y contraído.”;”EXERCISE_DIFFICULTY_HALF”;”MUSCLE_ABDOMINALS”
17;”Plancha estrella”;”Esta variante de la plancha tradicional es súper intensa ya que además de trabajar tus abdominales como ningún otro ejercicio también activas los músculos pectorales y deltoides.”;”EXERCISE_DIFFICULTY_HALF”;”MUSCLE_CHEST”,”MUSCLE_ABDOMINALS”
18;”Sentadillas profundas con saltos”;”Para desarrollar explosión, fuerza y potencia tienes que hacer estas sentadillas. El esfuerzo para hacer el salto lo convierte en un ejercicio maravilloso de fuerza y cardio al mismo tiempo. El ejercicio comienza haciendo la sentadilla profunda y cuando te levantas saltas tan alto como puedas levantando las rodillas hacia los costados hasta que lleguen a la altura de la cadera. Nuestra recomendación, 6 series de 20 repeticiones.”;”EXERCISE_DIFFICULTY_HARD”;”MUSCLE_QUADRICEPS”,”MUSCLE_BACK””MUSCLE_ABDOMINALS”
19;”Sentadilla a una sola pierna”;”Uno de los ejercicios más intensos que jamás harás para fortalecer tus cuádriceps. La sentadilla a una pierna requiere de un poco de práctica con la técnica, pero ya por el simple hecho de practicarla sentirás cómo quema en las piernas. Así que si sientes que necesitas más tamaño de piernas te recomendamos que las pruebes. Duelen, pero rinden.”;”EXERCISE_DIFFICULTY_HARD”;”MUSCLE_QUADRICEPS”,”MUSCLE_BACK”
